# R-axis VALIDADO: 28 prompts content-rich, 2048 tok, temp0, chat. LCP vs fp16 do MESMO stack.
# distinct4/reprate = degeneracao (igual fp16 em TODOS = sem perda de qualidade, so de fidelidade).
modelo,preset,LCP_med,LCP_mean,distinct4_med,reprate_med
Qwen2.5-7B,kvarn-k4v2,601,618,0.986,0.026
Qwen2.5-7B,kvarn-k4v4,357,663,0.988,0.022
Qwen2.5-7B,tq-k8v4,134,200,0.985,0.028
Qwen2.5-7B,tq-k4v2nc,55,62,0.986,0.026
Qwen2.5-14B-AWQ,kvarn-k4v2,1024,964,0.991,0.016
Qwen2.5-14B-AWQ,kvarn-k4v4,1034,1139,0.990,0.019
Qwen2.5-14B-AWQ,tq-k8v4,199,211,0.993,0.015
Qwen2.5-14B-AWQ,tq-k4v2nc,53,59,0.993,0.015
# fp16 baselines: 7b distinct4~0.984; 14b distinct4~0.991. Degeneracao IDENTICA em quant vs fp16.
# CONCLUSAO: KVarN preserva a trajetoria greedy do fp16 ~5-20x mais que TQ, gap amplifica com escala.
# KVarN k4v2 (2-bit V) > TQ k8v4 (4-bit V). MAS divergencia do TQ != degradacao (distinct4 igual) -> fidelidade, NAO qualidade.
